DATE_TIME,FROZEN_CM,THAW_CM,WATER_CONTENT_CM,SNOW_COVER_CM,TERRAIN,SITE
1954-11-23,2,,1.4,13,1,скв.105
1954-11-23,0,,,,0,скв.105
1954-11-23,4,,2.2,12,1,скв.107а
1954-11-23,1,,1,12,0,скв.107а
1954-11-23,7,,4.4,12,1,скв.108
1954-11-23,0,,,18,0,скв.108
1954-11-23,0,,,22,1,уч.4
1954-11-23,0,,,18,0,уч.4
1954-11-30,7,,3,12,1,скв.105
1954-11-30,2,,2.8,,0,скв.105
1954-11-30,12,,7.2,11,1,скв.107а
1954-11-30,3,,2,11,0,скв.107а
1954-11-30,16,,3.3,11,1,скв.108
1954-11-30,3,,1.9,16,0,скв.108
1954-11-30,15,,7.5,15,1,уч.4
1954-11-30,1,,1.5,20,0,уч.4
1954-12-07,8,,3,12,1,скв.105
1954-12-07,0,,,,0,скв.105
1954-12-07,5,,3.7,14,1,скв.107а
1954-12-07,6,,3.8,6,0,скв.107а
1954-12-07,11,,5.4,,1,скв.108
1954-12-07,0,,,22,0,скв.108
1954-12-07,11,,4.4,15,1,уч.4
1954-12-07,0,,,28,0,уч.4
1954-12-15,7,,4.3,20,1,скв.105
1954-12-15,,,,,0,скв.105
1954-12-15,8,,10.1,14,1,скв.107а
1954-12-15,4,,5.9,10,0,скв.107а
1954-12-15,10,,3.7,0,1,скв.108
1954-12-15,,,0.9,25,0,скв.108
1954-12-15,8,,3,21,1,уч.4
1954-12-15,2,,0.7,27,0,уч.4
1954-12-28,3,,3.6,28,1,скв.105
1954-12-28,,,,,0,скв.105
1954-12-28,7,,7.2,25,1,скв.107а
1954-12-28,1,,2,27,0,скв.107а
1954-12-28,9,,9.4,,1,скв.108
1954-12-28,0,,,,0,скв.108
1954-12-28,6,,3,26,1,уч.4
1954-12-28,0,,,40,0,уч.4
1955-01-12,8,,5.8,42,1,скв.105
1955-01-12,0,,,52,0,скв.105
1955-01-12,8,,11.5,26,1,скв.107а
1955-01-12,2,,1.9,36,0,скв.107а
1955-01-12,12,,7.2,39,1,скв.108
1955-01-12,0,,,52,0,скв.108
1955-01-12,8,,4.7,34,1,уч.4
1955-01-12,0,,,43,0,уч.4
1955-01-26,6,,6.5,63,1,скв.105
1955-01-26,0,,0.9,68,0,скв.105
1955-01-26,6,,6.6,54,1,скв.107а
1955-01-26,2,,3,57,0,скв.107а
1955-01-26,16,,8.6,50,1,скв.108
1955-01-26,1,,0.9,64,0,скв.108
1955-01-26,8,,3.6,46,1,уч.4
1955-01-26,0,,,60,0,уч.4
1955-02-08,6,,3.8,68,1,скв.105
1955-02-08,0,,,86,0,скв.105
1955-02-08,11,,5.8,48,1,скв.107а
1955-02-08,1,,2.8,62,0,скв.107а
1955-02-08,10,,15.5,52,1,скв.108
1955-02-08,0,,,70,0,скв.108
1955-02-08,4,,3.6,63,1,уч.4
1955-02-08,0,,,77,0,уч.4
1955-02-22,6,,3.6,66,1,скв.105
1955-02-22,1,,1.9,82,0,скв.105
1955-02-22,6,,7.2,52,1,скв.107а
1955-02-22,7,,8,53,0,скв.107а
1955-02-22,10,,5.8,63,1,скв.108
1955-02-22,0,,,78,0,скв.108
1955-02-22,5,,3.6,67,1,уч.4
1955-02-22,0,,,80,0,уч.4
1955-03-09,7,,8.6,82,1,скв.105
1955-03-09,0,,,94,0,скв.105
1955-03-09,13,,11.5,68,1,скв.107а
1955-03-09,8,,7.7,69,0,скв.107а
1955-03-09,15,,15.8,71,1,скв.108
1955-03-09,2,,2.8,79,0,скв.108
1955-03-09,4,,1.1,81,1,уч.4
1955-03-09,0,,,89,0,уч.4
1955-12-01,6,,3.3,58,1,скв.105
1955-12-01,0,,1.9,61,0,скв.105
1955-12-01,8,,7.2,42,1,скв.107а
1955-12-01,3,,3.9,43,0,скв.107а
1955-12-01,10,,4.7,46,1,скв.108
1955-12-01,0,,,53,0,скв.108
1955-12-01,5,,0.7,47,1,уч.4
1955-12-01,0,,,48,0,уч.4
1955-12-10,6,,2.9,48,1,скв.105
1955-12-10,0,,,48,0,скв.105
1955-12-10,10,,7.2,39,1,скв.107а
1955-12-10,4,,2.8,42,0,скв.107а
1955-12-10,14,,7.3,42,1,скв.108
1955-12-10,0,,,54,0,скв.108
1955-12-10,6,,3,40,1,уч.4
1955-12-10,0,,,50,0,уч.4
1955-12-20,8,,7.6,49,1,скв.105
1955-12-20,0,,,63,0,скв.105
1955-12-20,9,,7.2,40,1,скв.107а
1955-12-20,4,,3.6,39,0,скв.107а
1955-12-20,14,,5.6,39,1,скв.108
1955-12-20,2,,2.9,48,0,скв.108
1955-12-20,10,,6.2,46,1,уч.4
1955-12-20,1,,1,54,0,уч.4
1955-12-31,14,,6.6,37,1,скв.105
1955-12-31,1,,0.7,50,0,скв.105
1955-12-31,12,,7.2,34,1,скв.107а
1955-12-31,2,,3.6,48,0,скв.107а
1955-12-31,12,,11.6,47,1,скв.108
1955-12-31,0,,,59,0,скв.108
1955-12-31,10,,6.9,48,1,уч.4
1955-12-31,1,,1,60,0,уч.4
1956-01-10,7,,3.6,58,1,скв.105
1956-01-10,1,,1.4,66,0,скв.105
1956-01-10,10,,8.6,42,3,скв.107а
1956-01-10,2,,2.2,55,2,скв.107а
1956-01-10,17,,13,48,1,скв.108
1956-01-10,,,,66,0,скв.108
1956-01-10,2,,1.4,62,1,уч.4
1956-01-10,,,,68,0,уч.4
1956-01-31,9,,5,73,1,скв.105
1956-01-31,0,,,87,0,скв.105
1956-01-31,2,,5,62,3,скв.107а
1956-01-31,,,,74,2,скв.107а
1956-01-31,10,,4.8,72,1,скв.108
1956-01-31,4,,2.9,77,0,скв.108
1956-01-31,6,,1.1,82,1,уч.4
1956-01-31,,,,88,0,уч.4
1956-02-10,11,,5.8,75,1,скв.105
1956-02-10,0,,,84,0,скв.105
1956-02-10,16,,11.5,62,3,скв.107а
1956-02-10,4,,4,76,2,скв.107а
1956-02-10,15,,11.2,80,1,скв.108
1956-02-10,,,,92,0,скв.108
1956-02-10,12,,7.2,73,1,уч.4
1956-02-10,1,,1,82,0,уч.4
1956-02-20,14,,6.6,82,1,скв.105
1956-02-20,1,,1.4,88,0,скв.105
1956-02-20,13,,8.7,54,3,скв.107а
1956-02-20,6,,4.9,70,2,скв.107а
1956-02-20,22,,7.3,78,1,скв.108
1956-02-20,1,,1,92,0,скв.108
1956-02-20,11,,5.1,92,1,уч.4
1956-02-20,,,,94,0,уч.4
1956-03-01,15,,9.8,79,1,скв.105
1956-03-01,1,,0.2,90,0,скв.105
1956-03-01,18,,8,65,3,скв.107а
1956-03-01,14,,10,72,2,скв.107а
1956-03-01,18,,12,79,1,скв.108
1956-03-01,3,,2.9,89,0,скв.108
1956-03-01,14,,5,75,1,уч.4
1956-03-01,2,,2,92,0,уч.4
1956-03-10,14,,7.3,80,1,скв.105
1956-03-10,4,,1.8,91,0,скв.105
1956-03-10,21,,10.2,56,3,скв.107а
1956-03-10,4,,2.2,75,2,скв.107а
1956-03-10,10,,5.4,95,1,скв.108
1956-03-10,2,,0.7,107,0,скв.108
1956-03-10,10,,3.3,93,1,уч.4
1956-03-10,2,,1.5,99,0,уч.4
1956-03-20,18,,10.2,76,1,скв.105
1956-03-20,8,,6.6,80,0,скв.105
1956-03-20,15,,8,58,3,скв.107а
1956-03-20,3,,2.7,74,2,скв.107а
1956-03-20,14,,7.3,78,1,скв.108
1956-03-20,3,,2.2,91,0,скв.108
1956-03-20,9,,5.1,88,1,уч.4
1956-03-20,3,,1.5,95,0,уч.4
1956-03-31,13,,8.3,61,1,скв.105
1956-03-31,7,,5,68,0,скв.105
1956-03-31,14,,8.7,43,3,скв.107а
1956-03-31,9,,9,75,2,скв.107а
1956-03-31,18,,9.8,67,1,скв.108
1956-03-31,5,,4.5,82,0,скв.108
1956-03-31,9,,5.4,78,1,уч.4
1956-03-31,4,,3.3,83,0,уч.4
1956-04-10,6,,3.6,97,1,скв.105
1956-04-10,2,,2.2,110,0,скв.105
1956-04-10,23,,15.8,62,3,скв.107а
1956-04-10,4,,4,84,2,скв.107а
1956-04-10,18,,7.6,74,1,скв.108
1956-04-10,6,,2.1,77,0,скв.108
1956-04-10,6,,6.2,92,1,уч.4
1956-04-10,2,,1.3,95,0,уч.4
1956-04-21,10,,10,82,1,скв.105
1956-04-21,2,,0.7,91,0,скв.105
1956-04-21,8,,8,67,3,скв.107а
1956-04-21,3,,2,74,2,скв.107а
1956-04-21,14,,8.6,72,1,скв.108
1956-04-21,4,,0.5,80,0,скв.108
1956-04-21,3,,2.8,90,1,уч.4
1956-04-21,2,,0.7,90,0,уч.4
1956-04-28,9,,6.5,36,1,скв.105
1956-04-28,,,,38,0,скв.105
1956-04-28,12,4,8.6,0,3,скв.107а
1956-04-28,2,,2,31,2,скв.107а
1956-04-28,16,4,13.7,1,1,скв.108
1956-04-28,,,,22,0,скв.108
1956-11-01,8,,3.7,1,1,скв.105
1956-11-01,3,,2.2,1,0,скв.105
1956-11-01,7,,2.9,1,3,скв.107а
1956-11-01,4,,4,,2,скв.107а
1956-11-01,8,,3.7,1,1,скв.108
1956-11-01,,,,1,0,скв.108
1956-11-01,8,,2.6,,1,уч.4
1956-11-01,4,,0.7,1,0,уч.4
1956-11-10,7,,2.2,29,1,скв.105
1956-11-10,,,,34,0,скв.105
1956-11-10,7,,2.2,16,3,скв.107а
1956-11-10,2,,1.9,26,2,скв.107а
1956-11-10,5,,3.9,20,1,скв.108
1956-11-10,,,,29,0,скв.108
1956-11-10,8,,2.6,21,1,уч.4
1956-11-10,,,,26,0,уч.4
1956-11-15,8,,1.8,22,1,скв.105
1956-11-15,,,,31,0,скв.105
1956-11-15,4,,1.8,26,3,скв.107а
1956-11-15,2,,2,26,2,скв.107а
1956-11-15,9,,4.8,22,1,скв.108
1956-11-15,,,,28,0,скв.108
1956-11-15,8,,5.8,24,1,уч.4
1956-11-15,,,,30,0,уч.4
1956-11-20,3,,2.4,35,1,скв.105
1956-11-20,,,,42,0,скв.105
1956-11-20,6,,4,24,3,скв.107а
1956-11-20,1,,1,35,2,скв.107а
1956-11-20,9,,7.2,28,1,скв.108
1956-11-20,,,,38,0,скв.108
1956-11-20,6,,2.6,30,1,уч.4
1956-11-20,1,,0.7,38,0,уч.4
1956-11-30,4,,1.5,40,1,скв.105
1956-11-30,,,,48,0,скв.105
1956-11-30,12,,6.2,41,3,скв.107а
1956-11-30,4,,3.8,50,2,скв.107а
1956-11-30,8,,5.1,29,1,скв.108
1956-11-30,,,,43,0,скв.108
1956-11-30,2,,0.7,41,1,уч.4
1956-11-30,,,,47,0,уч.4
1956-12-10,4,,2.9,42,1,скв.105
1956-12-10,,,,42,0,скв.105
1956-12-10,6,,5.6,27,3,скв.107а
1956-12-10,5,,4.9,39,2,скв.107а
1956-12-10,5,,3.7,33,1,скв.108
1956-12-10,,,,44,0,скв.108
1956-12-10,1,,0.7,42,1,уч.4
1956-12-10,,,,46,0,уч.4
1956-12-20,4,,2.5,15,1,скв.105
1956-12-20,,,,30,0,скв.105
1956-12-20,4,,3.6,12,3,скв.107а
1956-12-20,0,,,16,2,скв.107а
1956-12-20,8,,5.7,0,1,скв.108
1956-12-20,,,,20,0,скв.108
1956-12-20,,,,10,1,уч.4
1956-12-20,,,,28,0,уч.4
1957-01-02,8,,5.1,17,1,скв.105
1957-01-02,4,,3.9,12,0,скв.105
1957-01-02,12,,7.3,13,3,скв.107а
1957-01-02,15,,12.7,,2,скв.107а
1957-01-02,19,,10.2,,1,скв.108
1957-01-02,12,,9.6,8,0,скв.108
1957-01-02,7,,2.9,15,1,уч.4
1957-01-02,4,,1.8,25,0,уч.4
1957-01-11,8,,3.6,24,1,скв.105
1957-01-11,4,,3.9,29,0,скв.105
1957-01-11,23,,11,6,3,скв.107а
1957-01-11,27,,25.8,3,2,скв.107а
1957-01-11,21,,7.4,4,1,скв.108
1957-01-11,11,,10.5,8,0,скв.108
1957-01-11,7,,4,28,1,уч.4
1957-01-11,2,,0.7,37,0,уч.4
1957-01-21,15,,12.9,11,1,скв.105
1957-01-21,8,,7.9,19,0,скв.105
1957-01-21,18,,12.3,7,3,скв.107а
1957-01-21,30,,26.5,4,2,скв.107а
1957-01-21,20,,16.6,5,1,скв.108
1957-01-21,16,,15.3,8,0,скв.108
1957-01-21,11,,4.3,26,1,уч.4
1957-01-21,4,,3.2,32,0,уч.4
1957-01-31,11,,6.6,42,1,скв.105
1957-01-31,2,,1.7,49,0,скв.105
1957-01-31,12,,9,38,3,скв.107а
1957-01-31,19,,14.4,32,2,скв.107а
1957-01-31,26,,11,20,1,скв.108
1957-01-31,27,,26.9,20,0,скв.108
1957-01-31,13,,6.7,43,1,уч.4
1957-01-31,2,,1.9,50,0,уч.4
1957-02-11,12,,10.1,42,1,скв.105
1957-02-11,2,,1.8,48,0,скв.105
1957-02-11,13,,9.4,36,3,скв.107а
1957-02-11,20,,17.5,28,2,скв.107а
1957-02-11,25,,14.5,18,1,скв.108
1957-02-11,18,,16.6,24,0,скв.108
1957-02-11,13,,9.4,40,1,уч.4
1957-02-11,3,,1.4,51,0,уч.4
1957-02-20,16,,10.2,59,1,скв.105
1957-02-20,3,,2.2,65,0,скв.105
1957-02-20,17,,11.5,55,3,скв.107а
1957-02-20,18,,17.8,63,2,скв.107а
1957-02-20,20,,15.6,43,1,скв.108
1957-02-20,19,,17.8,51,0,скв.108
1957-02-20,18,,11.5,37,1,уч.4
1957-02-20,9,,4.3,48,0,уч.4
1957-03-01,21,,14.5,61,1,скв.105
1957-03-01,5,,4.6,70,0,скв.105
1957-03-01,14,,10,57,3,скв.107а
1957-03-01,11,,10.7,60,2,скв.107а
1957-03-01,24,,19.4,53,1,скв.108
1957-03-01,11,,9.4,63,0,скв.108
1957-03-01,11,,5,56,1,уч.4
1957-03-01,4,,3.6,65,0,уч.4
1957-03-11,12,,7.9,59,1,скв.105
1957-03-11,3,,2.2,64,0,скв.105
1957-03-11,12,,9.4,59,3,скв.107а
1957-03-11,15,,14.4,54,2,скв.107а
1957-03-11,18,,9.4,58,1,скв.108
1957-03-11,8,,5.8,65,0,скв.108
1957-03-11,17,,10.9,54,1,уч.4
1957-03-11,5,,3.6,62,0,уч.4
1957-03-20,12,,8.8,74,1,скв.105
1957-03-20,2,,1.5,83,0,скв.105
1957-03-20,10,,6.9,71,3,скв.107а
1957-03-20,14,,13.1,61,2,скв.107а
1957-03-20,20,,14.1,65,1,скв.108
1957-03-20,10,,9.7,72,0,скв.108
1957-03-20,13,,9.1,67,1,уч.4
1957-03-20,4,,2.3,74,0,уч.4
1957-03-30,14,,10.4,71,1,скв.105
1957-03-30,4,,2.7,83,0,скв.105
1957-03-30,16,,11.4,62,3,скв.107а
1957-03-30,14,,13.4,58,2,скв.107а
1957-03-30,19,,12.6,65,1,скв.108
1957-03-30,10,,9.7,73,0,скв.108
1957-03-30,9,,6,70,1,уч.4
1957-03-30,5,,3.2,75,0,уч.4
1957-04-10,16,,11.2,47,1,скв.105
1957-04-10,2,,2,54,0,скв.105
1957-04-10,20,,14.4,31,3,скв.107а
1957-04-10,18,,17.7,30,2,скв.107а
1957-04-10,20,,11.5,22,1,скв.108
1957-04-10,12,,10.4,35,0,скв.108
1957-04-10,14,,8.6,36,1,уч.4
1957-04-10,4,,3.6,43,0,уч.4
1957-04-20,14,,9.9,37,1,скв.105
1957-04-20,6,,5.9,48,0,скв.105
1957-04-20,22,,16.2,23,3,скв.107а
1957-04-20,32,,30.6,14,2,скв.107а
1957-04-20,22,,14.3,22,1,скв.108
1957-04-20,12,,11.1,35,0,скв.108
1957-04-20,19,,13.7,22,1,уч.4
1957-04-20,9,,7.6,40,0,уч.4
1957-04-29,12,,9,,1,скв.105
1957-04-29,20,,9.5,,3,скв.107а
1957-04-29,6,,2.8,,2,скв.107а
1957-04-29,4,14,3.8,,1,скв.108
1957-04-29,5,9,4.3,,0,скв.108
1957-04-29,6,,5.3,,1,уч.4
1957-11-30,14,,8.6,2,1,скв.105
1957-11-30,6,,4.7,1,0,скв.105
1957-11-30,16,,6.2,2,3,скв.107а
1957-11-30,8,,7.3,2,2,скв.107а
1957-11-30,14,,4.6,3,1,скв.108
1957-11-30,6,,5,2,0,скв.108
1957-11-30,12,,5.5,2,1,уч.4
1957-11-30,6,,4.7,2,0,уч.4
1957-12-06,18,,8.8,,1,скв.105
1957-12-06,8,,6.3,1,0,скв.105
1957-12-06,18,,8,,3,скв.107а
1957-12-06,12,,11.3,,2,скв.107а
1957-12-06,18,,6.5,,1,скв.108
1957-12-06,6,,5.1,,0,скв.108
1957-12-06,14,,6.3,,1,уч.4
1957-12-06,6,,4.3,,0,уч.4
1957-12-10,13,,9.2,26,1,скв.105
1957-12-10,8,,5.6,32,0,скв.105
1957-12-10,13,,10,27,3,скв.107а
1957-12-10,12,,11.9,23,2,скв.107а
1957-12-10,15,,8.7,20,1,скв.108
1957-12-10,9,,6.6,29,0,скв.108
1957-12-10,12,,6.7,31,1,уч.4
1957-12-10,7,,5.2,32,0,уч.4
1957-12-20,14,,10,15,1,скв.105
1957-12-20,9,,2.6,19,0,скв.105
1957-12-20,16,,12.2,14,3,скв.107а
1957-12-20,16,,14.8,15,2,скв.107а
1957-12-20,15,,5.9,12,1,скв.108
1957-12-20,8,,5.8,19,0,скв.108
1957-12-20,14,,7,17,1,уч.4
1957-12-20,4,,2,20,0,уч.4
1957-12-31,12,,7.5,8,1,скв.105
1957-12-31,7,,6.1,9,0,скв.105
1957-12-31,16,,8.7,6,3,скв.107а
1957-12-31,18,,17.5,2,2,скв.107а
1957-12-31,15,,6.5,3,1,скв.108
1957-12-31,6,,5.5,2,0,скв.108
1957-12-31,10,,6,8,1,уч.4
1957-12-31,2,,1.4,10,0,уч.4
1958-01-10,14,,9.7,16,1,скв.105
1958-01-10,7,,5.7,16,0,скв.105
1958-01-10,16,,10.9,15,3,скв.107а
1958-01-10,20,,18.9,10,2,скв.107а
1958-01-10,16,,11.8,13,1,скв.108
1958-01-10,13,,12.5,11,0,скв.108
1958-01-10,10,,7.3,19,1,уч.4
1958-01-10,6,,4.7,17,0,уч.4
1958-01-21,13,,9.5,36,1,скв.105
1958-01-21,7,,5.8,36,0,скв.105
1958-01-21,14,,9.6,31,3,скв.107а
1958-01-21,16,,15.4,25,2,скв.107а
1958-01-21,16,,8,36,1,скв.108
1958-01-21,13,,11.8,38,0,скв.108
1958-01-21,14,,8.5,40,1,уч.4
1958-01-21,9,,7,48,0,уч.4
1958-01-31,18,,13.3,43,1,скв.105
1958-01-31,11,,8.1,47,0,скв.105
1958-01-31,16,,12,28,3,скв.107а
1958-01-31,12,,11.7,34,2,скв.107а
1958-01-31,20,,12.1,35,1,скв.108
1958-01-31,9,,7.8,41,0,скв.108
1958-01-31,16,,8.9,40,1,уч.4
1958-01-31,9,,6.7,45,0,уч.4
1958-02-10,16,,11.1,48,1,скв.105
1958-02-10,12,,10,49,0,скв.105
1958-02-10,16,,12.6,38,3,скв.107а
1958-02-10,14,,13,37,2,скв.107а
