# START_DATE format is %Y-%m-%d
# END_DATE format is %Y-%m-%d
# DAYS is the amount of days between START_DATE and END_DATE (days)
# SITE is the evapotranspiration measurement site
# ET is the evapotranspiration amount between START_DATE and END_DATE (mm)
START_DATE,END_DATE,DAYS,SITE,ET
1956-05-12,1956-05-20,9,ET1,21
1956-05-21,1956-05-31,11,ET1,36
1956-06-01,1956-06-10,10,ET1,36
1956-06-11,1956-06-20,10,ET1,33
1956-06-21,1956-06-30,10,ET1,31
1956-07-01,1956-07-10,10,ET1,30
1956-07-11,1956-07-20,10,ET1,28
1956-07-21,1956-07-31,11,ET1,16
1956-08-01,1956-08-10,10,ET1,17
1956-08-11,1956-08-20,10,ET1,33
1956-08-21,1956-08-31,11,ET1,33
1956-09-01,1956-09-10,10,ET1,15
1956-09-11,1956-09-20,10,ET1,9
1956-09-21,1956-09-30,10,ET1,8
1957-06-21,1957-06-30,10,ET1,29
1957-07-01,1957-07-10,10,ET1,29
1957-07-11,1957-07-20,10,ET1,32
1957-07-21,1957-07-31,11,ET1,28
1957-08-01,1957-08-10,10,ET1,23
1957-08-11,1957-08-20,10,ET1,12
1957-08-21,1957-08-31,11,ET1,18
1957-09-01,1957-09-10,10,ET1,14
1957-09-11,1957-09-20,10,ET1,9
1957-09-21,1957-09-30,10,ET1,7
1958-06-01,1958-06-10,10,ET1,30
1958-06-11,1958-06-20,10,ET1,38
1958-06-21,1958-06-30,10,ET1,39
1958-07-01,1958-07-10,10,ET1,37
1958-07-11,1958-07-20,10,ET1,35
1958-07-21,1958-07-31,11,ET1,28
1958-08-01,1958-08-10,10,ET1,27
1958-08-11,1958-08-20,10,ET1,21
1958-08-21,1958-08-31,11,ET1,23
1958-09-01,1958-09-10,10,ET1,18
1958-09-11,1958-09-20,10,ET1,16
1958-09-21,1958-09-30,10,ET1,4
1958-10-01,1958-10-10,10,ET1,6
1958-10-11,1958-10-20,10,ET1,1
1959-06-21,1959-06-30,10,ET1,37
1959-07-01,1959-07-10,10,ET1,28
1959-07-11,1959-07-20,10,ET1,33
1959-07-21,1959-07-31,11,ET1,33
1959-08-01,1959-08-10,10,ET1,24
1959-08-11,1959-08-20,10,ET1,20
1959-08-21,1959-08-31,11,ET1,12
1959-09-01,1959-09-10,10,ET1,12
1959-09-11,1959-09-20,10,ET1,6
1959-09-21,1959-09-30,10,ET1,8
1959-10-01,1959-10-10,10,ET1,4
1959-10-11,1959-10-20,10,ET1,4
1960-06-11,1960-06-20,10,ET1,23
1960-06-21,1960-06-30,10,ET1,36
1960-07-01,1960-07-10,10,ET1,27
1960-07-11,1960-07-20,10,ET1,36
1960-07-21,1960-07-31,11,ET1,32
1960-08-01,1960-08-10,10,ET1,28
1960-08-11,1960-08-20,10,ET1,21
1960-08-21,1960-08-31,11,ET1,14
1960-09-01,1960-09-10,10,ET1,10
1960-09-11,1960-09-20,10,ET1,10
1960-09-21,1960-09-30,10,ET1,8
1961-05-01,1961-05-10,10,ET1,24
1961-05-11,1961-05-20,10,ET1,22
1961-05-21,1961-05-31,11,ET1,42
1961-06-01,1961-06-10,10,ET1,51
1961-06-11,1961-06-20,10,ET1,42
1961-06-21,1961-06-30,10,ET1,32
1961-07-01,1961-07-10,10,ET1,30
1961-07-11,1961-07-20,10,ET1,30
1961-07-21,1961-07-31,11,ET1,32
1961-08-01,1961-08-10,10,ET1,23
1961-08-11,1961-08-20,10,ET1,16
1961-08-21,1961-08-31,11,ET1,25
1961-09-01,1961-09-10,10,ET1,15
1961-09-11,1961-09-20,10,ET1,9
1961-09-21,1961-09-30,10,ET1,9
1961-10-01,1961-10-10,10,ET1,5
1961-10-11,1961-10-20,10,ET1,3
1961-10-21,1961-10-31,11,ET1,2
1961-11-01,1961-11-10,10,ET1,2
1962-04-21,1962-04-30,10,ET1,11
1962-05-01,1962-05-10,10,ET1,16
1962-05-11,1962-05-20,10,ET1,29
1962-05-21,1962-05-31,11,ET1,25
1962-06-01,1962-06-10,10,ET1,34
1962-06-11,1962-06-20,10,ET1,38
1962-06-21,1962-06-30,10,ET1,20
1962-07-01,1962-07-10,10,ET1,26
1962-07-11,1962-07-20,10,ET1,25
1962-07-21,1962-07-31,11,ET1,34
1962-08-01,1962-08-10,10,ET1,24
1962-08-11,1962-08-20,10,ET1,18
1962-08-21,1962-08-31,11,ET1,15
1962-09-01,1962-09-10,10,ET1,12
1962-09-11,1962-09-20,10,ET1,12
1962-09-21,1962-09-30,10,ET1,7
1962-06-01,1962-06-10,10,ET2.1,32
1962-06-11,1962-06-20,10,ET2.1,34
1962-06-21,1962-06-30,10,ET2.1,21
1962-07-01,1962-07-10,10,ET2.1,19
1962-07-11,1962-07-20,10,ET2.1,27
1962-07-21,1962-07-31,11,ET2.1,30
1962-08-01,1962-08-10,10,ET2.1,14
1962-08-11,1962-08-20,10,ET2.1,22
1962-08-21,1962-08-31,11,ET2.1,13
1962-09-01,1962-09-10,10,ET2.1,20
1962-09-11,1962-09-20,10,ET2.1,40
1962-09-21,1962-09-30,10,ET2.1,15
1962-06-01,1962-06-10,10,ET2.2,36
1962-06-11,1962-06-20,10,ET2.2,43
1962-06-21,1962-06-30,10,ET2.2,20
1962-07-01,1962-07-10,10,ET2.2,25
1962-07-11,1962-07-20,10,ET2.2,27
1962-07-21,1962-07-31,11,ET2.2,32
1962-08-01,1962-08-10,10,ET2.2,19
1962-08-11,1962-08-20,10,ET2.2,22
1962-08-21,1962-08-31,11,ET2.2,9
1962-09-01,1962-09-10,10,ET2.2,20
1962-09-11,1962-09-20,10,ET2.2,38
1962-09-21,1962-09-30,10,ET2.2,15
1963-05-06,1963-05-10,5,ET1,18
1963-05-11,1963-05-20,10,ET1,35
1963-05-21,1963-05-31,11,ET1,47
1963-06-01,1963-06-10,10,ET1,35
1963-06-11,1963-06-20,10,ET1,33
1963-06-21,1963-06-30,10,ET1,23
1963-07-01,1963-07-10,10,ET1,20
1963-07-11,1963-07-20,10,ET1,35
1963-07-21,1963-07-31,11,ET1,30
1963-08-01,1963-08-10,10,ET1,21
1963-08-11,1963-08-20,10,ET1,16
1963-08-21,1963-08-31,11,ET1,14
1963-09-01,1963-09-10,10,ET1,16
1963-09-11,1963-09-20,10,ET1,14
1963-09-21,1963-09-29,9,ET1,9
1963-06-01,1963-06-10,10,ET2.1,31
1963-06-11,1963-06-20,10,ET2.1,23
1963-06-21,1963-06-30,10,ET2.1,18
1963-07-01,1963-07-10,10,ET2.1,20
1963-07-11,1963-07-20,10,ET2.1,24
1963-07-21,1963-07-31,11,ET2.1,21
1963-08-01,1963-08-10,10,ET2.1,16
1963-08-11,1963-08-20,10,ET2.1,13
1963-08-21,1963-08-31,11,ET2.1,11
