# START_DATE format is %Y-%m-%d
# END_DATE format is %Y-%m-%d
# SITE is evapotranspiration measurement site
# ET is evapotranspiration amount between START_DATE and END_DATE (mm)
START_DATE,END_DATE,SITE,ET
1956-05-12,1956-09-30,1,346
1957-06-21,1957-09-30,1,201
1958-06-01,1958-10-20,1,323
1959-06-21,1959-10-20,1,221
1960-06-11,1960-09-30,1,245
1961-05-01,1961-11-10,1,414
1962-04-21,1962-09-30,1,346
1962-06-01,1962-09-30,2.1,288
1962-06-01,1962-09-30,2.2,305
1963-05-06,1963-09-29,1,366
1963-06-01,1963-09-29,2.1,213
1963-06-01,1963-09-29,2.2,336
1964-05-01,1964-10-31,1,365
1964-05-11,1964-10-10,2.1,312
1964-05-11,1964-10-31,2.2,343
1965-05-01,1965-07-30,1,262
1965-08-01,1965-10-10,1,85
1965-05-04,1965-10-10,2.1,168
1965-05-07,1965-10-10,2.2,375
1966-05-07,1966-10-10,1,446
1966-07-02,1966-10-10,3,208
1967-05-24,1967-10-20,1,406
1968-05-05,1968-10-09,1,362
1968-05-01,1968-10-09,3,364
1968-05-01,1968-10-09,4,401
1968-05-01,1968-10-09,2.1,374
1968-05-01,1968-10-09,2.2,375
1969-05-21,1969-10-28,1,385
1969-05-21,1969-10-14,2.1,314
1969-05-21,1969-10-14,2.2,362
1970-05-01,1970-10-10,1,419
1970-05-08,1970-10-10,3,371
1970-05-23,1970-10-10,4,324
1970-05-15,1970-10-10,2.1,299
1970-05-15,1970-10-10,2.2,325
1971-05-01,1971-09-30,1,380
1971-05-05,1971-09-30,2,347
1971-05-01,1971-09-30,3,342
1971-05-05,1971-09-30,4,393
1972-05-01,1972-10-20,1,420
1972-05-01,1972-10-20,2,394
1972-05-01,1972-09-26,3,353
1973-05-12,1973-10-07,1,391
1973-05-12,1973-10-07,2,412
1973-05-18,1973-10-07,3,383
1973-05-14,1973-10-07,4,425
1974-05-11,1974-10-20,1,291
1974-05-16,1974-10-10,2,330
1974-05-11,1974-10-10,3,355
1974-05-12,1974-10-01,4,298
1975-05-01,1975-10-26,1,393
1975-05-06,1975-10-10,2,371
1975-05-01,1975-10-26,3,409
1976-05-06,1976-09-30,1,282
1976-05-11,1976-07-18,2,168
1976-05-06,1976-09-30,3,304
1977-05-03,1977-09-30,1,301
1978-06-13,1978-09-30,1,171
1979-05-15,1979-09-30,1,293
1980-05-15,1980-09-30,1,281
1981-05-13,1981-09-30,1,277
1982-05-11,1982-09-30,1,310
1983-04-18,1983-09-30,1,342
1984-04-21,1984-11-10,1,348
1985-05-16,1985-09-30,1,254
1986-05-11,1986-09-30,1,298
1987-05-08,1987-09-30,1,251
1988-05-05,1988-09-30,1,282
1989-04-27,1989-09-30,1,284
1990-04-23,1990-09-30,1,270
1991-04-30,1991-09-30,1,276
1992-05-11,1992-10-10,1,303
1993-04-30,1993-09-30,1,281
1994-05-12,1994-09-30,1,243
1995-05-01,1995-09-30,1,297
1996-05-11,1996-09-30,1,249
1997-05-11,1997-09-30,1,233
1998-05-11,1998-09-30,1,298
1999-05-01,1999-09-30,1,282
2000-05-01,2000-09-30,1,239
2001-05-01,2001-09-30,1,255
2002-05-01,2002-09-30,1,262
2003-05-21,2003-09-30,1,227
2004-05-01,2004-09-30,1,286
2005-05-01,2005-09-30,1,287
2006-05-01,2006-09-30,1,305
2007-05-21,2007-09-30,1,239
2008-05-01,2008-09-30,1,264
2009-05-21,2009-09-30,1,351
2010-05-01,2010-09-30,1,321
2011-05-11,2011-09-30,1,269
2012-05-11,2012-09-30,1,344
2013-05-01,2013-09-30,1,377
2014-05-01,2014-09-30,1,327
2015-05-01,2015-09-30,1,254
2016-05-01,2016-09-30,1,396
2017-05-01,2017-09-30,1,356
2018-05-01,2018-09-30,1,303
2019-05-01,2019-09-30,1,245
2020-05-01,2020-09-30,1,277
