# DATE_TIME format is %Y-%m-%d
# GW_WELL is the well name
# GW_LEVEL is the groundwater level (cm)
DATE_TIME,GW_WELL,GW_LEVEL
1964-04-17,G360,-501
1964-04-18,G360,-498
1964-04-19,G360,-495
1964-04-20,G360,-492
1964-04-21,G360,-491
1964-04-22,G360,-489
1964-04-23,G359,-246
1964-04-23,G360,-486
1964-04-24,G359,-242
1964-04-24,G360,-484
1964-04-25,G359,-242
1964-04-25,G360,-479
1964-04-26,G359,-240
1964-04-26,G360,-476
1964-04-27,G359,-239
1964-04-27,G360,-472
1964-04-28,G359,-238
1964-04-28,G360,-472
1964-04-29,G359,-236
1964-04-29,G360,-470
1964-04-30,G359,-236
1964-04-30,G360,-467
1964-05-01,G359,-238
1964-05-01,G360,-469
1964-05-02,G359,-238
1964-05-02,G360,-468
1964-05-03,G359,-239
1964-05-03,G360,-466
1964-05-04,G359,-238
1964-05-04,G360,-466
1964-05-05,G359,-239
1964-05-05,G360,-465
1964-05-06,G359,-237
1964-05-06,G360,-462
1964-05-07,G359,-241
1964-05-07,G360,-464
1964-05-08,G359,-242
1964-05-08,G360,-464
1964-05-09,G359,-240
1964-05-09,G360,-463
1964-05-10,G359,-240
1964-05-10,G360,-462
1964-05-11,G359,-239
1964-05-11,G360,-461
1964-05-12,G359,-240
1964-05-12,G360,-461
1964-05-13,G359,-241
1964-05-13,G360,-462
1964-05-14,G359,-241
1964-05-14,G360,-461
1964-05-15,G359,-239
1964-05-15,G360,-462
1964-05-16,G359,-237
1964-05-16,G360,-460
1964-05-17,G359,-233
1964-05-17,G360,-457
1964-05-18,G359,-241
1964-05-18,G360,-459
1964-05-19,G359,-243
1964-05-19,G360,-459
1964-05-20,G359,-243
1964-05-20,G360,-459
1964-05-21,G359,-243
1964-05-21,G360,-459
1964-05-22,G359,-245
1964-05-22,G360,-459
1964-05-23,G359,-246
1964-05-23,G360,-459
1964-05-24,G359,-246
1964-05-24,G360,-459
1964-05-25,G359,-248
1964-05-25,G360,-459
1964-05-26,G359,-248
1964-05-26,G360,-460
1964-05-27,G359,-248
1964-05-28,G359,-248
1964-05-29,G359,-248
1964-05-30,G359,-250
1964-05-30,G360,-461
1964-05-31,G359,-253
1964-05-31,G360,-462
1964-06-01,G359,-252
1964-06-01,G360,-457
1964-06-01,G361,-1282
1964-06-02,G359,-252
1964-06-02,G360,-463
1964-06-02,G361,-1281
1964-06-03,G359,-257
1964-06-03,G360,-464
1964-06-03,G361,-1282
1964-06-04,G359,-255
1964-06-04,G360,-463
1964-06-04,G361,-1282
1964-06-05,G359,-257
1964-06-05,G360,-464
1964-06-05,G361,-1280
1964-06-06,G359,-259
1964-06-06,G360,-464
1964-06-06,G361,-1282
1964-06-06,G362,-740
1964-06-07,G359,-259
1964-06-07,G360,-466
1964-06-07,G361,-1282
1964-06-07,G362,-740
1964-06-08,G359,-259
1964-06-08,G360,-467
1964-06-08,G361,-1283
1964-06-08,G362,-740
1964-06-09,G359,-261
1964-06-09,G360,-466
1964-06-09,G361,-1286
1964-06-09,G362,-739
1964-06-10,G359,-260
1964-06-10,G360,-467
1964-06-10,G361,-1283
1964-06-10,G362,-739
1964-06-11,G359,-265
1964-06-11,G360,-469
1964-06-11,G361,-1284
1964-06-11,G362,-738
1964-06-12,G359,-265
1964-06-12,G360,-469
1964-06-12,G361,-1284
1964-06-12,G362,-739
1964-06-13,G359,-266
1964-06-13,G360,-470
1964-06-13,G361,-1284
1964-06-13,G362,-739
1964-06-14,G359,-266
1964-06-14,G360,-470
1964-06-14,G361,-1284
1964-06-14,G362,-739
1964-06-15,G359,-269
1964-06-15,G360,-472
1964-06-15,G361,-1284
1964-06-15,G362,-739
1964-06-16,G359,-270
1964-06-16,G360,-472
1964-06-16,G361,-1285
1964-06-16,G362,-740
1964-06-17,G359,-271
1964-06-17,G360,-473
1964-06-17,G361,-1285
1964-06-17,G362,-741
1964-06-18,G359,-272
1964-06-18,G360,-473
1964-06-18,G361,-1285
1964-06-18,G362,-741
1964-06-19,G359,-273
1964-06-19,G360,-475
1964-06-19,G361,-1286
1964-06-19,G362,-737
1964-06-20,G359,-275
1964-06-20,G360,-476
1964-06-20,G361,-1286
1964-06-20,G362,-741
1964-06-21,G359,-276
1964-06-21,G360,-475
1964-06-21,G361,-1286
1964-06-21,G362,-742
1964-06-22,G359,-279
1964-06-22,G360,-478
1964-06-22,G361,-1288
1964-06-22,G362,-743
1964-06-23,G359,-280
1964-06-23,G360,-478
1964-06-23,G361,-1287
1964-06-23,G362,-743
1964-06-24,G359,-281
1964-06-24,G360,-479
1964-06-24,G361,-1288
1964-06-24,G362,-743
1964-06-25,G359,-280
1964-06-25,G360,-478
1964-06-25,G361,-1285
1964-06-25,G362,-742
1964-06-26,G359,-282
1964-06-26,G360,-480
1964-06-26,G361,-1288
1964-06-26,G362,-743
1964-06-27,G359,-283
1964-06-27,G360,-481
1964-06-27,G361,-1288
1964-06-27,G362,-743
1964-06-28,G359,-283
1964-06-28,G360,-481
1964-06-28,G361,-1287
1964-06-28,G362,-742
1964-06-29,G359,-283
1964-06-29,G360,-483
1964-06-29,G361,-1289
1964-06-29,G362,-742
1964-06-30,G359,-285
