# DATE_TIME format is %Y-%m-%d
# GW_WELL is the well name
# GW_TEMP is the groundwater temperature (degree Celsuis)
DATE_TIME,GW_WELL,GW_TEMP
1974-01-09,G359,6
1974-01-09,G360,5.4
1974-01-09,G362,4.7
1974-01-09,G364,4.3
1974-01-09,G365,2.6
1974-01-09,G366,3.6
1974-01-09,G367,2
1974-01-09,G369,4
1974-01-09,G375,4.9
1974-01-09,G376,5.2
1974-01-09,G377,5.2
1974-01-09,G378,3.6
1974-01-09,G379,4
1974-01-10,G386,3.8
1974-01-10,G387,4
1974-01-10,G388,4
1974-01-10,G389,4.6
1974-01-10,G390,4.2
1974-01-18,G359,6.3
1974-01-18,G360,5.6
1974-01-18,G362,4.8
1974-01-18,G364,4.1
1974-01-18,G365,2.4
1974-01-18,G366,3.1
1974-01-18,G367,2
1974-01-18,G369,4.2
1974-01-18,G375,4.9
1974-01-18,G376,5.6
1974-01-18,G377,5.3
1974-01-18,G378,3.3
1974-01-18,G379,3.8
1974-01-20,G386,3.9
1974-01-20,G387,3.6
1974-01-20,G388,3.6
1974-01-20,G389,4.6
1974-01-20,G390,4.2
1974-01-27,G359,5.9
1974-01-27,G360,5
1974-01-27,G362,4.7
1974-01-27,G364,3.9
1974-01-27,G365,1.9
1974-01-27,G366,2.9
1974-01-27,G367,2
1974-01-27,G369,4.2
1974-01-27,G375,4.7
1974-01-27,G376,5.2
1974-01-27,G377,5.8
1974-01-27,G378,3.2
1974-01-27,G379,3.9
1974-01-31,G386,3.9
1974-01-31,G387,3.5
1974-01-31,G388,3.7
1974-01-31,G389,4.5
1974-01-31,G390,4.1
1974-02-09,G359,5.9
1974-02-09,G360,5.2
1974-02-09,G362,4.6
1974-02-09,G364,4
1974-02-09,G365,3.2
1974-02-09,G366,3.2
1974-02-09,G367,3.5
1974-02-09,G369,3.3
1974-02-09,G375,4.8
1974-02-09,G376,5.3
1974-02-09,G377,6
1974-02-09,G378,2.5
1974-02-09,G379,3.2
1974-02-10,G386,3.2
1974-02-10,G387,2.7
1974-02-10,G388,2.6
1974-02-10,G389,4.6
1974-02-10,G390,4.2
1974-02-18,G359,6
1974-02-18,G360,5
1974-02-18,G362,4.8
1974-02-18,G364,3.8
1974-02-18,G365,3
1974-02-18,G366,3.2
1974-02-18,G367,2.8
1974-02-18,G369,3.6
1974-02-18,G375,4.8
1974-02-18,G376,5.3
1974-02-18,G377,5.9
1974-02-18,G378,2.6
1974-02-18,G379,3
1974-02-20,G386,2.9
1974-02-20,G387,2.7
1974-02-20,G388,2.7
1974-02-20,G389,4.6
1974-02-20,G390,4.2
1974-02-27,G359,5.8
1974-02-27,G360,5
1974-02-27,G362,5
1974-02-27,G364,3.5
1974-02-27,G365,2.9
1974-02-27,G366,2.5
1974-02-27,G367,2.3
1974-02-27,G369,3.4
1974-02-27,G375,4.5
1974-02-27,G376,5.2
1974-02-27,G377,5.8
1974-02-27,G378,3
