# DATE_TIME format is %Y-%m-%d,,,,,
# DEPTH is the measurement depth under the peat surface (cm),,,,,
# PEAT_TEMP is the peat temperature (degree Celsuis),,,,,
# OBS_TYPE is the daily average,,,,,
# SITE is the observation site: valid values are 1 or 2,,,,,
# QC is the quality control: 1 - ready-to-use value; 0 - unreliable value,,,,,
DATE_TIME,DEPTH,PEAT_TEMP,OBS_TYPE,SITE,QC
1953-06-20,5,17.4,avg,PT1,0
1953-06-20,10,15.9,avg,PT1,0
1953-06-20,15,15.2,avg,PT1,0
1953-06-20,20,14.3,avg,PT1,0
1953-06-20,40,11.9,avg,PT1,0
1953-06-20,80,8.2,avg,PT1,0
1953-06-20,2.5,19.2,avg,PT1,0
1953-06-21,5,17.3,avg,PT1,0
1953-06-21,10,15.8,avg,PT1,0
1953-06-21,15,15.3,avg,PT1,0
1953-06-21,20,14.3,avg,PT1,0
1953-06-21,40,12.1,avg,PT1,0
1953-06-21,80,8.2,avg,PT1,0
1953-06-21,2.5,18.8,avg,PT1,0
1953-06-22,5,17.3,avg,PT1,0
1953-06-22,10,15.8,avg,PT1,0
1953-06-22,15,15.3,avg,PT1,0
1953-06-22,20,14.6,avg,PT1,0
1953-06-22,40,12.4,avg,PT1,0
1953-06-22,80,8.4,avg,PT1,0
1953-06-22,2.5,19.2,avg,PT1,0
1953-06-23,5,17.1,avg,PT1,0
1953-06-23,10,15.8,avg,PT1,0
1953-06-23,15,15.3,avg,PT1,0
1953-06-23,20,14.8,avg,PT1,0
1953-06-23,40,12.4,avg,PT1,0
1953-06-23,80,8.9,avg,PT1,0
1953-06-23,2.5,18.6,avg,PT1,0
1953-06-24,5,17.7,avg,PT1,0
1953-06-24,10,16.1,avg,PT1,0
1953-06-24,15,15.6,avg,PT1,0
1953-06-24,20,14.6,avg,PT1,0
1953-06-24,40,12.5,avg,PT1,0
1953-06-24,80,9,avg,PT1,0
1953-06-24,2.5,19.3,avg,PT1,0
1953-06-25,5,17.8,avg,PT1,0
1953-06-25,10,16.4,avg,PT1,0
1953-06-25,15,15.8,avg,PT1,0
1953-06-25,20,14.6,avg,PT1,0
1953-06-25,40,12.7,avg,PT1,0
1953-06-25,80,8.9,avg,PT1,0
1953-06-25,2.5,19.5,avg,PT1,0
1953-06-26,5,16.9,avg,PT1,0
1953-06-26,10,15.9,avg,PT1,0
1953-06-26,15,15.6,avg,PT1,0
1953-06-26,20,14.8,avg,PT1,0
1953-06-26,40,12.8,avg,PT1,0
1953-06-26,80,9.1,avg,PT1,0
1953-06-26,2.5,17.5,avg,PT1,0
1953-06-27,5,14.9,avg,PT1,0
1953-06-27,10,14.9,avg,PT1,0
1953-06-27,15,14.8,avg,PT1,0
1953-06-27,20,14.4,avg,PT1,0
1953-06-27,40,12.8,avg,PT1,0
1953-06-27,80,9.2,avg,PT1,0
1953-06-27,2.5,14.3,avg,PT1,0
1953-06-28,5,14,avg,PT1,0
1953-06-28,10,13.7,avg,PT1,0
1953-06-28,15,13.8,avg,PT1,0
1953-06-28,20,13.7,avg,PT1,0
1953-06-28,40,12.5,avg,PT1,0
1953-06-28,80,9.4,avg,PT1,0
1953-06-28,2.5,14.3,avg,PT1,0
1953-06-29,5,15.6,avg,PT1,0
1953-06-29,10,14.3,avg,PT1,0
1953-06-29,15,13.5,avg,PT1,0
1953-06-29,20,13.4,avg,PT1,0
1953-06-29,40,12.4,avg,PT1,0
1953-06-29,80,9.4,avg,PT1,0
1953-06-29,2.5,16.6,avg,PT1,0
1953-07-01,5,15.4,avg,PT1,0
1953-07-01,10,14.2,avg,PT1,0
1953-07-01,15,13.8,avg,PT1,0
1953-07-01,20,13.4,avg,PT1,0
1953-07-01,40,12.4,avg,PT1,0
1953-07-01,80,8.6,avg,PT1,0
1953-07-01,2.5,16.2,avg,PT1,0
1953-07-03,5,16.1,avg,PT1,0
1953-07-03,10,15.1,avg,PT1,0
1953-07-03,15,14.5,avg,PT1,0
1953-07-03,20,13.8,avg,PT1,0
1953-07-03,40,12.4,avg,PT1,0
1953-07-03,80,9.4,avg,PT1,0
1953-07-03,2.5,17.1,avg,PT1,0
1953-07-05,5,17,avg,PT1,0
1953-07-05,10,15.6,avg,PT1,0
1953-07-05,15,15,avg,PT1,0
1953-07-05,20,13.9,avg,PT1,0
1953-07-05,40,12.4,avg,PT1,0
1953-07-05,80,9.6,avg,PT1,0
1953-07-05,2.5,18.1,avg,PT1,0
1953-07-06,5,15.8,avg,PT1,0
